step,epoch_log1,loss_log1,epoch_log2,loss_log2
0,0,0.019934,0,0.022391
1,0,0.084347,0,0.084968
2,0,0.023491,0,0.025071
3,0,0.125862,0,0.128529
4,0,0.025203,0,0.024524
5,0,0.037302,0,0.038191
6,0,0.058968,0,0.059551
7,0,0.019144,0,0.019519
8,0,0.025936,0,0.025977
9,0,0.028716,0,0.027178
10,0,0.139093,0,0.140273
11,0,0.016451,0,0.017374
12,0,0.036582,0,0.039609
13,0,0.027964,0,0.027741
14,0,0.033098,0,0.033546
15,0,0.004785,0,0.005878
16,0,0.087159,0,0.090335
17,0,0.054809,0,0.054315
18,0,0.188342,0,0.191784
19,0,0.080851,0,0.081525
20,0,0.014851,0,0.012005
21,0,0.016243,0,0.016842
22,0,0.151178,0,0.151156
23,0,0.054754,0,0.05547
24,0,0.03119,0,0.030987
25,0,0.139981,0,0.136668
26,0,0.021148,0,0.019378
27,0,0.045909,0,0.046292
28,0,0.026033,0,0.02561
29,0,0.058257,0,0.0565
30,0,0.025282,0,0.02558
31,0,0.069307,0,0.06942
32,0,0.04151,0,0.041429
33,0,0.029742,0,0.028485
34,0,0.17852,0,0.184465
35,0,0.033232,0,0.032858
36,0,0.05583,0,0.055871
37,0,0.10938,0,0.104764
38,0,0.083625,0,0.083013
39,0,0.04849,0,0.047903
40,0,0.042323,0,0.04292
41,0,0.026326,0,0.026761
42,0,0.053145,0,0.05357
43,0,0.050223,0,0.05016
44,0,0.018096,0,0.018374
45,0,0.160538,0,0.157823
46,0,0.091436,0,0.091443
47,0,0.029765,0,0.030191
48,0,0.030518,0,0.029086
49,0,0.050326,0,0.050609
50,0,0.017151,0,0.016755
51,0,0.016384,0,0.015156
52,0,0.018237,0,0.020447
53,0,0.046308,0,0.040059
54,0,0.041035,0,0.042988
55,0,0.140007,0,0.14001
56,0,0.025101,0,0.025347
57,0,0.046355,0,0.044791
58,0,0.215048,0,0.209869
59,0,0.019849,0,0.018097
60,0,0.036133,0,0.036627
61,0,0.023133,0,0.023088
62,0,0.156087,0,0.155811
63,0,0.116746,0,0.118244
64,0,0.170768,0,0.171443
65,0,0.150688,0,0.15241
66,0,0.022119,0,0.023899
67,0,0.114162,0,0.11582
68,0,0.019882,0,0.02205
69,0,0.021897,0,0.022772
70,0,0.023924,0,0.024966
71,0,0.164067,0,0.171039
72,0,0.026837,0,0.0303
73,0,0.055514,0,0.059107
74,0,0.064231,0,0.066045
75,0,0.068774,0,0.070889
76,0,0.169441,0,0.192562
77,0,0.017125,0,0.018709
78,0,0.051449,0,0.054954
79,0,0.042471,0,0.044733
80,0,0.021733,0,0.023856
81,0,0.092765,0,0.095057
82,0,0.027089,0,0.028073
83,0,0.193507,0,0.210105
84,0,0.022566,0,0.023745
85,0,0.029531,0,0.029424
86,0,0.0232,0,0.02243
87,0,0.095719,0,0.100548
88,0,0.015084,0,0.016972
89,0,0.045187,0,0.048029
90,0,0.046251,0,0.047073
91,0,0.036838,0,0.038598
92,0,0.056022,0,0.056207
93,0,0.112937,0,0.11654
94,0,0.035412,0,0.039574
95,0,0.040688,0,0.040537
96,0,0.071872,0,0.072142
97,0,0.120218,0,0.123204
98,0,0.074081,0,0.074479
99,0,0.028948,0,0.028794
100,0,0.034953,0,0.035397
101,0,0.150385,0,0.154758
102,0,0.038541,0,0.040208
103,0,0.020479,0,0.021619
104,0,0.027766,0,0.029035
105,0,0.137926,0,0.142079
106,0,0.011816,0,0.013062
107,0,0.154105,0,0.156059
108,0,0.024632,0,0.024869
109,0,0.046684,0,0.047423
110,0,0.059165,0,0.060114
111,0,0.051831,0,0.052974
112,0,0.044371,0,0.045571
113,0,0.056381,0,0.058051
114,0,0.096089,0,0.098427
115,0,0.044557,0,0.04537
116,0,0.066327,0,0.06849
117,0,0.035438,0,0.036211
118,0,0.030907,0,0.028351
119,0,0.017978,0,0.019359
120,0,0.039852,0,0.042403
121,0,0.029756,0,0.028581
122,0,0.086777,0,0.088742
123,0,0.029133,0,0.033427
124,0,0.153285,0,0.154862
125,0,0.059766,0,0.059393
126,0,0.03563,0,0.035141
127,0,0.068728,0,0.069508
128,0,0.099711,0,0.103907
129,0,0.075214,0,0.075378
130,0,0.060251,0,0.061922
131,0,0.135748,0,0.136723
132,0,0.019103,0,0.019776
133,0,0.045548,0,0.04556
134,0,0.036312,0,0.03375
135,0,0.030507,0,0.030398
136,0,0.019625,0,0.019953
137,0,0.030067,0,0.030625
138,0,0.019498,0,0.020411
139,0,0.018127,0,0.018196
140,0,0.023102,0,0.022225
141,0,0.040101,0,0.038989
142,0,0.038693,0,0.03893
143,0,0.01816,0,0.018956
144,0,0.108847,0,0.111045
145,0,0.055768,0,0.057615
146,0,0.125816,0,0.126732
147,0,0.138438,0,0.140454
148,0,0.051815,0,0.050748
149,0,0.156106,0,0.15829
150,0,0.077274,0,0.078296
151,0,0.078273,0,0.078812
152,0,0.045951,0,0.046926
153,0,0.162089,0,0.168213
154,0,0.051021,0,0.052652
155,0,0.029905,0,0.029634
156,0,0.017651,0,0.018005
157,0,0.03674,0,0.036442
158,0,0.023005,0,0.020538
159,0,0.083751,0,0.084817
160,0,0.031609,0,0.032493
161,0,0.081206,0,0.082248
162,0,0.031085,0,0.032152
163,0,0.014209,0,0.01378
164,0,0.001987,0,0.002771
165,0,0.022201,0,0.026803
166,0,0.087888,0,0.088518
167,0,0.053999,0,0.053592
168,0,0.019839,0,0.021326
169,0,0.030318,0,0.031134
170,0,0.026221,0,0.027508
171,0,0.034073,0,0.035076
172,0,0.027762,0,0.028129
173,0,0.023817,0,0.023204
174,0,0.036949,0,0.038437
175,0,0.070985,0,0.073915
176,0,0.15452,0,0.161797
177,0,0.026973,0,0.028094
178,0,0.099885,0,0.097781
179,0,0.048157,0,0.050963
180,0,0.014777,0,0.012628
181,0,0.054705,0,0.055135
182,0,0.017377,0,0.01826
183,0,0.007288,0,0.007072
184,0,0.075378,0,0.077964
185,0,0.065062,0,0.067025
186,0,0.043194,0,0.04332
187,0,0.015297,0,0.015557
188,0,0.06431,0,0.066493
189,0,0.019667,0,0.020143
190,0,0.017715,0,0.01841
191,0,0.101047,0,0.102749
192,0,0.149023,0,0.153628
193,0,0.031972,0,0.0339
194,0,0.02106,0,0.019009
195,0,0.113218,0,0.113726
196,0,0.035876,0,0.036236
197,0,0.011754,0,0.0132
198,0,0.081595,0,0.084386
199,0,0.051578,0,0.054303
200,0,0.040497,0,0.040142
201,0,0.061657,0,0.064036
202,0,0.03761,0,0.039352
203,0,0.028218,0,0.027747
204,0,0.080601,0,0.083846
205,0,0.050123,0,0.052352
206,0,0.016974,0,0.017309
207,0,0.220869,0,0.22241
208,0,0.033072,0,0.035313
209,0,0.030008,0,0.031781
210,0,0.036105,0,0.038607
211,0,0.051852,0,0.054131
212,0,0.016047,0,0.016336
213,0,0.018768,0,0.020632
214,0,0.050193,0,0.04842
215,0,0.016437,0,0.020021
216,0,0.01978,0,0.020577
217,0,0.061873,0,0.062749
218,0,0.032536,0,0.034057
219,0,0.211714,0,0.284878
220,0,0.098337,0,0.106352
221,0,0.148487,0,0.213018
222,0,0.022508,0,0.024424
223,0,0.111508,0,0.12243
224,0,0.035125,0,0.038047
225,0,0.049297,0,0.053513
226,0,0.115181,0,0.140301
227,0,0.174526,0,0.20926
228,0,0.057457,0,0.068515
229,0,0.08794,0,0.099078
230,0,0.036407,0,0.039921
231,0,0.029351,0,0.031279
232,0,0.045893,0,0.050306
233,0,0.051267,0,0.052659
234,0,0.056927,0,0.059993
235,0,0.037627,0,0.039772
236,0,0.038001,0,0.040675
237,0,0.073023,0,0.077371
238,0,0.032061,0,0.036192
239,0,0.127714,0,0.140316
240,0,0.032134,0,0.033202
241,0,0.139843,0,0.146808
242,0,0.04142,0,0.043001
243,0,0.085492,0,0.08962
244,0,0.051716,0,0.053201
245,0,0.066829,0,0.071495
246,0,0.043294,0,0.044566
247,0,0.028936,0,0.029523
248,0,0.044566,0,0.04719
249,0,0.082251,0,0.084465
250,0,0.023843,0,0.025208
251,0,0.02399,0,0.025049
252,0,0.017996,0,0.018681
253,0,0.06442,0,0.067694
254,0,0.020838,0,0.020428
255,0,0.053604,0,0.055779
256,0,0.10685,0,0.111316
257,0,0.02676,0,0.02781
258,0,0.109616,0,0.113344
259,0,0.014433,0,0.015636
260,0,0.025256,0,0.025519
261,0,0.012781,0,0.013282
262,0,0.040628,0,0.041261
263,0,0.055557,0,0.055172
264,0,0.081297,0,0.083349
265,0,0.032209,0,0.032806
266,0,0.188082,0,0.199583
267,0,0.027161,0,0.026834
268,0,0.039034,0,0.039247
269,0,0.02515,0,0.025711
270,0,0.028073,0,0.029578
271,0,0.115047,0,0.118788
272,0,0.032253,0,0.032613
273,0,0.024409,0,0.023451
274,0,0.036129,0,0.037045
275,0,0.061776,0,0.063711
276,0,0.075441,0,0.076479
277,0,0.054186,0,0.053943
278,0,0.046964,0,0.048772
279,0,0.034491,0,0.034852
280,0,0.109276,0,0.112099
281,0,0.019263,0,0.019515
282,0,0.023549,0,0.024246
283,0,0.060513,0,0.06303
284,0,0.043201,0,0.04439
285,0,0.040649,0,0.041616
286,0,0.165458,0,0.163019
287,0,0.022916,0,0.023561
288,0,0.036339,0,0.038262
289,0,0.021671,0,0.022073
290,0,0.028412,0,0.029073
291,0,0.076776,0,0.06807
292,0,0.052629,0,0.054829
293,0,0.087316,0,0.087402
294,0,0.025031,0,0.025375
295,0,0.019318,0,0.020789
296,0,0.014287,0,0.014295
297,0,0.030224,0,0.031974
298,0,0.076507,0,0.075106
299,0,0.026527,0,0.024478
300,0,0.124512,0,0.129838
